City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Kabo,CF,7.6994,18.629,73.8,76,95,3.51,overcast clouds
337,Abu Samrah,SY,35.3029,37.1841,71.2,35,21,3.76,few clouds
338,Dekar,BW,-21.5333,21.9333,57.27,41,0,5.48,clear sky
339,Rodez,FR,44.5,2.5833,51.48,100,100,3.44,fog
340,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,36,0,21.85,clear sky
341,Nahan,IN,30.55,77.3,75.09,41,0,3.0,clear sky
342,Aneho,TG,6.2333,1.6,81.59,76,88,8.12,overcast clouds
343,Butembo,CD,0.15,29.2833,56.89,97,51,3.0,broken clouds
344,Lucapa,AO,-8.4192,20.7447,66.38,79,54,2.48,broken clouds
345,Mutoko,ZW,-17.397,32.2268,53.78,91,40,1.88,scattered clouds
346,Lebu,CL,-37.6167,-73.65,53.69,89,49,15.23,scattered clouds
