City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Worthington,US,2022-04-28 02:59:36,40.0931,-83.018,44.98,70,15,1.01
135,Hobart,AU,2022-04-28 02:59:37,-42.8794,147.3294,70.02,80,40,5.75
136,Lancaster,US,2022-04-28 02:59:37,40.2504,-76.2499,40.48,63,27,8.01
137,Hithadhoo,MV,2022-04-28 02:59:42,-0.6,73.0833,83.61,72,100,5.84
138,Norman Wells,CA,2022-04-28 02:59:43,65.282,-126.8329,35.64,60,75,6.91
139,Steamboat Springs,US,2022-04-28 02:59:43,40.485,-106.8317,55.96,33,0,5.75
140,Vaini,TO,2022-04-28 02:59:44,-21.2,-175.2,80.76,57,40,10.36
141,Juneau,US,2022-04-28 02:59:26,58.3019,-134.4197,44.22,97,99,1.25
142,Lamu,KE,2022-04-28 02:59:45,-2.2717,40.902,80.1,82,97,9.46
143,Tasiilaq,GL,2022-04-28 02:59:45,65.6145,-37.6368,23.58,84,85,6.44
144,Adrar,MR,2022-04-28 02:59:46,20.5022,-10.0711,68.99,23,0,9.98
145,Ewa Beach,US,2022-04-28 02:59:01,21.3156,-158.0072,79.99,64,75,11.01
146,Kavieng,PG,2022-04-28 02:59:46,-2.5744,150.7967,86.32,63,99,11.43
147,Havoysund,NO,2022-04-28 02:59:47,70.9963,24.6622,25.03,56,100,13.15
148,Tangwani,PK,2022-04-28 02:59:47,28.2787,68.9972,96.17,15,63,5.23
149,Galle,LK,2022-04-28 02:59:47,6.0367,80.217,84.9,70,28,1.88
150,Buraydah,SA,2022-04-28 02:58:41,26.326,43.975,66.65,64,100,6.24
151,Tutoia,BR,2022-04-28 02:59:48,-2.7619,-42.2744,76.44,90,98,5.48
152,Lebu,CL,2022-04-28 02:59:49,-37.6167,-73.65,49.33,73,34,0.78
153,Qaanaaq,GL,2022-04-28 02:59:49,77.484,-69.3632,13.14,65,67,7.96
154,Lampa,CL,2022-04-28 02:59:50,-33.2833,-70.9,53.64,82,40,3.44
155,Iqaluit,CA,2022-04-28 02:59:50,63.7506,-68.5145,15.53,78,75,24.16
156,Fort Nelson,CA,2022-04-28 02:59:50,58.8053,-122.7002,33.39,93,100,11.5
157,Fare,PF,2022-04-28 02:59:51,-16.7,-151.0167,81.41,74,4,21.56
158,Bilma,NE,2022-04-28 02:59:51,18.6853,12.9164,83.93,12,0,8.46
159,Betare Oya,CM,2022-04-28 02:59:52,5.6,14.0833,66.33,93,100,1.1
160,Saint-Leu,RE,2022-04-28 02:59:52,-21.15,55.2833,72.32,72,3,6.06
161,Samarai,PG,2022-04-28 02:59:53,-10.6167,150.6667,83.59,76,13,6.69
